用户ID,"帐户名",销量,日期
1182821,"g1308222",94100.4,2016/01/25
1005096,"moonwell123",87192,2016/01/25
1273477,"wgglgg",53760,2016/01/25
1379867,"wl535671549",49726,2016/01/25
1463410,"wolftooth24",49104,2016/01/25
1296940,"小纸鹤520",44850,2016/01/25
1246387,"xiaoyatou",37638,2016/01/25
1390967,"wo55558888",36657.6,2016/01/25
955681,"songlqqq0123",34676,2016/01/25
1089665,"sm5678",33704,2016/01/25
1451307,"kdy850721",33256,2016/01/25
1464694,"独宠地瓜",31054,2016/01/25
1285357,"xiaofeibeicao",26458,2016/01/25
954776,"ymf16889",26416.2,2016/01/25
1310501,"huajia123",22204.8,2016/01/25
1500923,"a13731395879",21982,2016/01/25
1459126,"lixin188",16926,2016/01/25
1288143,"dissummer",16814,2016/01/25
1217594,"zhang8",15836,2016/01/25
1487368,"chaoqi123",15510.8,2016/01/25
1240479,"tianbao527",15320,2016/01/25
1458023,"lgb108",15080,2016/01/25
1336576,"xlzxy2020",15000,2016/01/25
894013,"w1271101089",14660.8,2016/01/25
917764,"yuanyang111",14507.6,2016/01/25
867904,"benlu88",14252,2016/01/25
1492932,"千王之王jjc",13520.4,2016/01/25
1191030,"y2981074808",13403,2016/01/25
1318069,"byds0421",13357.2,2016/01/25
1299810,"玩玩乐乐",12196,2016/01/25
1485496,"gui2016",12183.6,2016/01/25
1390564,"fdc151",11081.8,2016/01/25
1508152,"完美世界祝福",10298.2,2016/01/25
1247836,"reformwzp",9479.4,2016/01/25
1029839,"xiaolifeidao1203",9463.2,2016/01/25
1041066,"liushang998",9262,2016/01/25
1029896,"czls888",8342,2016/01/25
1497556,"zl5487143",8148,2016/01/25
1263597,"zxc688",7056.8,2016/01/25
911396,"qq5677820",6804,2016/01/25
1263571,"sc0809",6683.2,2016/01/25
1501489,"好棒123",6556,2016/01/25
1505447,"mx98",6537.8,2016/01/25
1295559,"bbff119",6393,2016/01/25
1292900,"yixiaonaihe",6303,2016/01/25
937754,"moxun2013",6245,2016/01/25
1448579,"du706419976",6084.6,2016/01/25
432821,"tianlong033",5954,2016/01/25
363032,"dick888",5790,2016/01/25
1444109,"wangjie1234",5402.4,2016/01/25
1194226,"wannianhong139",5400,2016/01/25
1255986,"ditayang",5376,2016/01/25
1173562,"fhpt121",5236,2016/01/25
1296760,"zllongyi",5210,2016/01/25
1285146,"li9887",5174.4,2016/01/25
1115592,"santian2ye",5096,2016/01/25
1238994,"woshifhh",5034.2,2016/01/25
1454609,"玉18671835829",4930,2016/01/25
1426497,"lhf800926",4860,2016/01/25
1221527,"likejia",4793,2016/01/25
1370099,"anhuizgp",4669.8,2016/01/25
1413876,"xiaowu0321",4620,2016/01/25
1167864,"asdfgh1979",4611.4,2016/01/25
1454750,"a64993280",4428,2016/01/25
1506917,"zbq138000",4404,2016/01/25
1297376,"lihua0906",4314,2016/01/25
1292058,"天幕红尘",4280,2016/01/25
1202810,"mao83win692yoyo",4215.2,2016/01/25
1500961,"wjz温见州",4214,2016/01/25
1508641,"pyg521",4064.6,2016/01/25
367934,"em1357",4028,2016/01/25
737987,"czm16888",3920,2016/01/25
1239228,"dai13630450176",3850,2016/01/25
1284554,"yxb2015",3788,2016/01/25
1331544,"宋大师",3760,2016/01/25
1508341,"hfl1976",3718,2016/01/25
1289149,"liangliang58",3686.4,2016/01/25
1325271,"abc441045976",3617.6,2016/01/25
919265,"nini5656",3588,2016/01/25
939725,"xxg6666",3484,2016/01/25
827233,"cjm666666",3472,2016/01/25
877736,"zhangjie2014",3354,2016/01/25
547285,"pr2021",3282,2016/01/25
1174490,"qingxiu888",3280,2016/01/25
927246,"dmm541005",3258,2016/01/25
1490373,"aiqi14",3146.4,2016/01/25
988797,"w88208605",3138,2016/01/25
1224229,"zhuzhu198937",3030,2016/01/25
1082784,"aakk123",3025.4,2016/01/25
1203131,"lfd2010",2828.8,2016/01/25
1267355,"jun813929509306",2790.4,2016/01/25
705449,"zhw666",2754,2016/01/25
906268,"tingyu44",2680,2016/01/25
1075133,"tym2014",2654.2,2016/01/25
1438985,"周平游戏",2601.4,2016/01/25
1502859,"alxad",2571.6,2016/01/25
216394,"book13",2568.8,2016/01/25
1210095,"ywxch888",2527.2,2016/01/25
931336,"bingggg8888",2500,2016/01/25
780535,"ice916",2424,2016/01/25
1158206,"carteryjpgfss",2400,2016/01/25
1483668,"ps88001",2392,2016/01/25
1505825,"fg1688adf",2368.6,2016/01/25
1380406,"fh999ps",2327,2016/01/25
1488680,"mrj2016",2289,2016/01/25
1377066,"李大本事",2274,2016/01/25
1479185,"aldan88",2266,2016/01/25
1462243,"无心可用",2260,2016/01/25
1383689,"烟花烙清荷怨",2224,2016/01/25
1506577,"bibo19911011",2170,2016/01/25
1501595,"wang121988",2160,2016/01/25
1102740,"xingyuncao168",2000,2016/01/25
1421743,"a2543365623",1980,2016/01/25
1373908,"ysj1981",1952.6,2016/01/25
1341642,"kissbaobao999",1918.8,2016/01/25
1051534,"y2464976434y",1904.6,2016/01/25
1237161,"qswzdj",1903,2016/01/25
1294994,"fdc858",1877.8,2016/01/25
1086013,"original",1806.8,2016/01/25
437764,"as71850",1776.4,2016/01/25
1262899,"善良的口魂",1706.6,2016/01/25
