用户ID,用户名,每日投注累积,日期
1381575,ls19841111,109628.6,20151003
368082,shuijing518,53909.8,20151003
1399176,金元宝88888888,52930,20151003
1259420,dvd010,30898,20151003
1395480,永静,28830,20151003
1089926,power9,27750.6,20151003
985807,qq262744919,26800,20151003
737987,czm16888,19424,20151003
954776,ymf16889,19047.6,20151003
1212276,as007地主,18927.8,20151003
1263597,zxc688,16420,20151003
1235208,p15210,15280.2,20151003
894371,zqdl789,14907.2,20151003
1373987,胖胖,14709.4,20151003
1367224,ryp7777,14364,20151003
1381234,呆呆520,13300,20151003
1214334,lbl188,11921.2,20151003
1340786,sjm1478810,11508,20151003
906268,tingyu44,10500,20151003
346149,fhvip07,10336,20151003
1380488,ayztlx,9620,20151003
1285357,xiaofeibeicao,9242,20151003
1297376,lihua0906,9225.6,20151003
1268220,a15218998588,8436.4,20151003
1220078,rongrongjin,7042,20151003
1384841,中个奖真难,7019.8,20151003
703497,xiao863,6920,20151003
1372507,jiaozigege,6630,20151003
1075133,tym2014,6410,20151003
1255147,ojiayou8,6118,20151003
1174490,qingxiu888,5970.2,20151003
899899,mrj2013,5855,20151003
904876,tvb0010,5818,20151003
1237075,a13346560676,5786,20151003
1368278,jw19961029,5372.2,20151003
1270989,chyz777,5258.2,20151003
1003318,gaz8989,4739.2,20151003
1332582,heqinhe123,4643.2,20151003
1399104,weixiao5,4638.2,20151003
1336576,xlzxy2020,4600,20151003
1223921,firefly12,4551,20151003
867904,benlu88,4424,20151003
1239135,xyzf2017,4382,20151003
859887,ty4995,4362,20151003
1317360,a284801231,4302.2,20151003
1378827,tutuhaha,4290,20151003
1399387,毛呆呆1314,4200,20151003
1381468,szf885522,4044.8,20151003
1107289,limengjianjian,3946,20151003
1340533,wjruien,3824,20151003
1325864,usamibbs,3650,20151003
1273445,chen8961788,3640,20151003
1379867,wl535671549,3638.4,20151003
1247836,reformwzp,3593.4,20151003
1281239,qingxin88,3551.2,20151003
1341397,彩民白富美,3478,20151003
1267373,我喜欢lxwzj,3345.6,20151003
1236079,老顽童1737,3340,20151003
827233,cjm666666,3323.2,20151003
1307591,锋哥,3240.8,20151003
1191445,lei2538439995,3235,20151003
734432,cubs169,3200,20151003
1217169,wanjiange888,3150,20151003
846002,yjm11290518,3106,20151003
1029896,czls888,3090,20151003
1378564,aaaa147258,3000,20151003
1269200,llp1984,2805.6,20151003
796424,wzb1800,2534,20151003
624527,qqq243643316,2506.6,20151003
1220095,yeyesen,2403,20151003
1368652,piao5678,2402,20151003
780535,ice916,2348.8,20151003
1398851,leyan918,2290.4,20151003
1234714,z1316579054,2240,20151003
1100931,liubao11,2232.2,20151003
891093,ren888666,2184.4,20151003
1205188,liyatss,2160,20151003
1102639,z664985226,2116.8,20151003
1228548,zhangxd69105,2104,20151003
1380481,a304463242,2050.8,20151003
1221527,likejia,2049,20151003
1399723,wzq2444,2032.8,20151003
1203131,lfd2010,2020.8,20151003
1244154,ac335512,1994.6,20151003
1394405,zzz297980138,1975.4,20151003
1379744,kisscai520,1942.2,20151003
1029839,xiaolifeidao1203,1939,20151003
1108285,h55307,1921.2,20151003
1381336,lcz171613,1903.6,20151003
1401310,ren91318,1854,20151003
898907,yy1232091301,1840,20151003
1343524,sunfencer,1810,20151003
869611,dzm934,1800,20151003
1167270,lixujiaqq,1776,20151003
1322576,茂泉678,1722,20151003
278916,dingdatou110,1708,20151003
916239,czd88787699,1696,20151003
1325031,law980078833,1696,20151003
1379860,如果有来生,1672.8,20151003
1295277,hansonglinaaa,1670,20151003
1381435,a555555,1668.6,20151003
1382919,山东人,1648,20151003
855844,yoyo388023,1642.8,20151003
1316318,f80755281,1628,20151003
1396021,youling888,1602,20151003
1272643,huihui558,1559.2,20151003
1176046,ysy518,1548,20151003
1172044,dingdang4886,1530,20151003
1170153,guo8704,1523.2,20151003
1283963,上海冷漠,1520,20151003
1398784,mw54321,1499,20151003
983494,fhl2468,1491.4,20151003
1341642,kissbaobao999,1479.2,20151003
1338892,ailaibao,1460,20151003
1207053,wqs888,1454,20151003
1393747,a032a,1450,20151003
1372682,cy19820215,1433.8,20151003
1393899,小满意,1404,20151003
1304500,那个大宝,1400,20151003
966772,chuancaizhong,1380.6,20151003
1398861,毛仔v毛毛,1372.2,20151003
849486,yangfei518,1360.6,20151003
1077112,huozhoucike,1338,20151003
1353546,a2822781,1320.4,20151003
1316504,陈利00,1310,20151003
1293016,wanxinggong888,1292,20151003
1184026,zt870917,1280,20151003
856710,fff570,1240,20151003
1158716,misiwang,1207.4,20151003
934286,xiaoxia555,1200,20151003
1341611,hongqixdd666,1200,20151003
1040865,lhxp667,1196,20151003
1289264,l149318,1192,20151003
1299810,玩玩乐乐,1192,20151003
1012174,huihui11,1172.4,20151003
1279751,nsalong,1170,20151003
740325,wei3796,1152,20151003
1067213,choushe,1152,20151003
1374500,ruirui20100806,1145.8,20151003
1338330,lx990521,1134.4,20151003
1301143,龙腾虎跃,1128,20151003
1257266,babadan512,1120,20151003
1331544,宋大师,1118.2,20151003
1089665,sm5678,1104.4,20151003
1385017,geiqian886,1100.8,20151003
1210124,qqchizl,1100,20151003
1258937,wangshibo1208,1094.2,20151003
1370606,qq44889,1072.4,20151003
1379940,jinbao,1064.6,20151003
1399731,我想你了你在哪,1052,20151003
1400015,showtimehy06,1046,20151003
1379821,rongyan9168,1041.6,20151003
935157,xielin58555,1024,20151003
1228424,聊聊888,1012,20151003
1269793,lixiaopeng,1008.6,20151003
879509,szaj888,990.8,20151003
1388685,汐汐粑粑,960.2,20151003
1316662,祥宝,959,20151003
1403175,djll888888,959,20151003
862170,ty8276,955.6,20151003
1326986,dajunwoaini,952,20151003
1210054,roy521,942,20151003
1395500,q41806279,937,20151003
1112839,id7128,933.8,20151003
1221694,徐俊1982aaa,912,20151003
1379927,mm121,907.2,20151003
1382400,恋风88,900,20151003
1177378,xiangshui021,898,20151003
1322929,lnc910741217,892.6,20151003
1338160,鹏鹏888,880.6,20151003
1286802,qq2548759525,844.8,20151003
1262899,善良的口魂,838.2,20151003
1379406,zhanghongwei2015,812,20151003
1289522,闲情逸致,806,20151003
1386394,panshiyin123,804,20151003
1236339,a5890369,800,20151003
1297216,sun776495852,800,20151003
1343458,莫待萧萧,800,20151003
1382236,zx15229445988,800,20151003
1248820,月仙0515,796,20151003
1324103,sunyadi888,795,20151003
1380154,sunyadi8888,795,20151003
1398870,zhsokwtf,795,20151003
744413,vv789vv,778,20151003
1367332,qqq147258369,770,20151003
1377519,aszx1988,758,20151003
1101671,kws9999,756,20151003
1166894,zzqixing,754.2,20151003
1353517,fan349,750,20151003
1101961,a03743a,739.4,20151003
1399775,helei0527,730,20151003
1383245,zybvsljf,728,20151003
1262489,lsj243059,726.6,20151003
1186372,yuxin508,720,20151003
1222715,under,720,20151003
1374567,tao910888,720,20151003
1308155,mjb2615255,711.2,20151003
1222571,黔城,697,20151003
